ICDCode,Disease,,,
A00.0,Cholera due to Vibrio cholerae 01,,,
A00.1,Cholera due to Vibrio cholerae 01,,,
A00.9,Cholera,,,
A01.00,Typhoid fever,,,
A01.1,Paratyphoid fever A,,,
A01.2,Paratyphoid fever B,,,
A01.3,Paratyphoid fever C,,,
A01.4,Paratyphoid fever,,,
A02.0,Salmonella enteritis,,,
A02.1,Salmonella sepsis,,,
A02.20,Localized salmonella infection,,,
A02.21,Salmonella meningitis,,,
A02.22,Salmonella pneumonia,,,
A02.23,Salmonella arthritis,,,
A02.24,Salmonella osteomyelitis,,,
A02.29,Salmonella with other localized infection,,,
A02.8,Other specified salmonella infections,,,
A02.9,Salmonella infection,,,
A03.0,Shigellosis due to Shigella dysenteriae,,,
A03.1,Shigellosis due to Shigella flexneri,,,
A03.2,Shigellosis due to Shigella boydii,,,
A03.3,Shigellosis due to Shigella sonnei,,,
A03.8,Other shigellosis,,,
A03.9,Shigellosis,,,
A05.0,Foodborne staphylococcal intoxication,,,
A05.1,Botulism food poisoning,,,
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,,,
A05.8,Other specified bacterial foodborne intoxications,,,
A05.3,Foodborne Vibrio parahaemolyticus intoxication,,,
A05.5,Foodborne Vibrio vulnificus intoxication,,,
A05.4,Foodborne Bacillus cereus intoxication,,,
A05.9,Bacterial foodborne intoxication,,,
A06.0,Acute amebic dysentery,,,
A06.1,Chronic intestinal amebiasis,,,
A06.2,Amebic nondysenteric colitis,,,
A06.4,Amebic liver abscess,,,
A06.5,Amebic lung abscess,,,
A06.6,Amebic brain abscess,,,
A06.7,Cutaneous amebiasis,,,
A06.89,Other amebic infections,,,
A06.9,Amebiasis,,,
A07.0,Balantidiasis,,,
A07.1,Giardiasis [lambliasis],,,
A07.3,Isosporiasis,,,
A07.8,Other specified protozoal intestinal diseases,,,
A07.2,Cryptosporidiosis,,,
A07.4,Cyclosporiasis,,,
A07.8,Other specified protozoal intestinal diseases,,,
A07.9,Protozoal intestinal disease,,,
A04.4,Other intestinal Escherichia coli infections,,,
A04.0,Enteropathogenic Escherichia coli infection,,,
A04.1,Enterotoxigenic Escherichia coli infection,,,
A04.2,Enteroinvasive Escherichia coli infection,,,
A04.3,Enterohemorrhagic Escherichia coli infection,,,
A04.4,Other intestinal Escherichia coli infections,,,
A04.8,Other specified bacterial intestinal infections,,,
A04.8,Other specified bacterial intestinal infections,,,
A04.8,Other specified bacterial intestinal infections,,,
A04.8,Other specified bacterial intestinal infections,,,
A04.8,Other specified bacterial intestinal infections,,,
A04.5,Campylobacter enteritis,,,
A04.6,Enteritis due to Yersinia enterocolitica,,,
A04.7,Enterocolitis due to Clostridium difficile,,,
A04.8,Other specified bacterial intestinal infections,,,
A04.8,Other specified bacterial intestinal infections,,,
A04.8,Other specified bacterial intestinal infections,,,
A04.9,Bacterial intestinal infection,,,
A08.0,Rotaviral enteritis,,,
A08.2,Adenoviral enteritis,,,
A08.11,Acute gastroenteropathy due to Norwalk agent,,,
A08.19,Acute gastroenteropathy due to other small round viruses,,,
A08.31,Calicivirus enteritis,,,
A08.32,Astrovirus enteritis,,,
A08.39,Other viral enteritis,,,
A08.39,Other viral enteritis,,,
A08.8,Other specified intestinal infections,,,
A09,Infectious gastroenteritis and colitis,,,
A09,Infectious gastroenteritis and colitis,,,
A09,Infectious gastroenteritis and colitis,,,
A09,Infectious gastroenteritis and colitis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.6,Tuberculous pleurisy,,,
A15.6,Tuberculous pleurisy,,,
A15.6,Tuberculous pleurisy,,,
A15.6,Tuberculous pleurisy,,,
A15.6,Tuberculous pleurisy,,,
A15.6,Tuberculous pleurisy,,,
A15.6,Tuberculous pleurisy,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.7,Primary respiratory tuberculosis,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.5,Tuberculosis of larynx,,,
A15.5,Tuberculosis of larynx,,,
A15.5,Tuberculosis of larynx,,,
A15.5,Tuberculosis of larynx,,,
A15.5,Tuberculosis of larynx,,,
A15.5,Tuberculosis of larynx,,,
A15.5,Tuberculosis of larynx,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.0,Tuberculosis of lung,,,
A15.6,Tuberculous pleurisy,,,
A15.6,Tuberculous pleurisy,,,
A15.6,Tuberculous pleurisy,,,
A15.6,Tuberculous pleurisy,,,
